id;name;customer_contact_name;customer_contact_addresslines;customer_purchase_number;kwiqly_order_number;base_price_per_month;start_date;end_date
1;Cis female;copy;Designer phrase;Gasoline;Southeast;5019;2023-08-11T16:15:15;2023-08-10T20:15:26
2;Funk Northeast experiences;index;Southwest Polygender Michigan;Honda;moderator ampere haptic;29225;2023-08-10T22:59:19;2023-08-11T06:25:14
3;painting;fussy grey Pop;Implementation Bike;person;Wyoming connecting;6060;2023-08-11T10:35:32;2023-08-11T17:25:54
4;Shoes;Shoes Executive;honored East;sonata black Fiji;Rap Forward Loan;3290;2023-08-11T13:52:40;2023-08-11T11:27:22
5;pixel iure Pants;Program;Music;frenetically;Towels Accountability;2024;2023-08-11T13:20:19;2023-08-11T11:56:26
6;Oriental ornate copy;Gasoline Polestar yellow;illumine abut access;Recycled;synthesis;29948;2023-08-10T22:51:52;2023-08-11T06:52:50
7;Cambridgeshire Polarised;protocol;Dong;Rap Chicken Leu;black;25515;2023-08-11T17:52:03;2023-08-11T18:34:03
8;South monitoring;Colorado female haptic;users North;Bicycle Arizona after;Fresh Odie Ruble;23684;2023-08-11T03:08:25;2023-08-11T05:10:48
9;Southwest;intently deposit;Corporate accentuate omnis;North Electric;volt Principal;22522;2023-08-11T16:06:02;2023-08-10T22:19:20
10;South Funk male;Cambridgeshire;initiatives;Recycled interface East;dynamic Toys Gloves;10591;2023-08-11T03:21:32;2023-08-11T12:55:12
