id;provider;utility;namespace;client_ref;meter_name;contact_email;ownership;owner;postcode;addresslines;lat;lon;classifications
1;apropos Pop reinvent;HEAT;psst voluptate Sausages;quantify Trans;compress disintermediate;Cambridgeshire;Bike;Nissan flesh product;Director;coordinated;1101;2857;Health
2;extend Branding;GAS;Northwest Ball Home;information dozen anenst;Northwest Reggae;brr;male Operations whoa;Southeast excluding leading;Northeast Fresh Gloves;backing;29230;22757;Hybrid Lek
3;Jeep outsource;COGENPOWER;invoice Computers tan;Architect female;noisily;ecosystem excepting;East Fresh;payment Future minima;Dale Brazil;gosh Dollar;4997;11496;male
4;Bedfordshire apropos navigating;SOLARPOWER;Southeast salmon East;Bicycle female Senior;ampere Sedan Sedan;Applications;Sedan input;supposing;Beauty;West strategic;9187;9404;lime positively Operations
5;within;WIND;New;times meh;Avon Specialist;Rap Kenyan;gray Androgynous neural;deliverables Liaison Harbor;drowse;driver;12513;2082;orchestration
6;bifurcated Electronic Granite;COGENPOWER;Hatchback bus Rap;Accounts Senior;Officer Blues;though Van Northeast;Sausages;Director female;Group;reintermediate ab;27770;17276;quis
7;haptic Southwest;HEAT;calculating Fresh mesh;Borders;Principal;Principal connect Electric;Assistant;Northwest Plastic valuable;female;Northeast;22630;9306;transform primp
8;elliptical Cotton;WATER;turquoise;iterate above Hybrid;kelvin;Isle East once;East um;Advanced Direct B2B;bluetooth Program;male skedaddle;9532;23372;Supervisor Associate
9;Cotton whisper;SOLARPOWER;Bicycle Chair indeed;Rubber reboot Soap;gosh;Morocco fluid;North badly;Internal contaminate Coupe;Ford moratorium;around bandwidth;18143;9767;Investment nor
10;generating purple;WATER;boo;Northwest;Manat;Kids female;compelling;fruitful Fish mole;Thallium on;male Florida preselect;25762;12951;Berkshire Handmade Plaza
